feature,original_mean,drift_mean,mean_change_%,original_std,drift_std,std_change_%,abs_mean_change
volatile acidity,0.535515625,0.534428147926042,-0.20307102597763885,0.18057674860717587,0.18754971193914985,3.8614956719277638,0.20307102597763885
fixed acidity,8.245625,8.239002061429174,-0.08032063756023976,1.6749995321198992,1.7201036826057654,2.692785855813458,0.08032063756023976
ph_alcohol,34.3247234375,34.3247234375,0.0,4.187458703548996,4.187458703548996,0.0,0.0
alcohol_squared,108.55065017361112,108.55065017361112,0.0,22.42386393708557,22.42386393708557,0.0,0.0
total_acidity,8.781140625,8.781140625,0.0,1.6400653311705131,1.6400653311705131,0.0,0.0
alcohol_density,10.4016874022927,10.4016874022927,0.0,1.0513230265098898,1.0513230265098898,0.0,0.0
sulfur_ratio,0.38102698934062046,0.38102698934062046,0.0,0.16465689092894492,0.16465689092894492,0.0,0.0
acidity_ratio,17.75548108099515,17.75548108099515,0.0,8.866411775584876,8.866411775584876,0.0,0.0
alcohol,10.36703125,10.36703125,0.0,1.038597189972601,1.038597189972601,0.0,0.0
sulphates,0.65690625,0.65690625,0.0,0.18519528951520522,0.18519528951520522,0.0,0.0
pH,3.30709375,3.30709375,0.0,0.1562149992146203,0.1562149992146203,0.0,0.0
density,0.9967506875,0.9967506875,0.0,0.0017323022251374864,0.0017323022251374864,0.0,0.0
total sulfur dioxide,46.6328125,46.6328125,0.0,31.726056331858473,31.726056331858473,0.0,0.0
free sulfur dioxide,15.9921875,15.9921875,0.0,11.381146824324597,11.381146824324597,0.0,0.0
chlorides,0.090428125,0.090428125,0.0,0.05059540003113272,0.05059540003113272,0.0,0.0
residual sugar,2.5346874999999995,2.5346874999999995,0.0,1.5199611948004002,1.5199611948004002,0.0,0.0
citric acid,0.26346875000000003,0.26346875000000003,0.0,0.19881348427159856,0.19881348427159856,0.0,0.0
sulphates_alcohol,6.828619791666666,6.828619791666666,0.0,2.0515632879105365,2.0515632879105365,0.0,0.0
