feature,importance
alcohol,0.3137778093575845
sulphates,0.16353631315345216
volatile acidity,0.1195182214804605
total sulfur dioxide,0.11103380210177859
chlorides,0.059090930453627975
fixed acidity,0.05054873686658864
pH,0.04693054636711674
density,0.043957135296809044
citric acid,0.03605659686986627
residual sugar,0.031126123303698097
free sulfur dioxide,0.02442378474901747
