algorithm,mean_cv_score,std_cv_score
GradientBoosting,0.7976377160100033,0.026116620145571277
RandomForest,0.7971228476046026,0.015464526437104071
AdaBoost,0.7565110971914877,0.021339866816585427
LogisticRegression,0.7537025117308099,0.025860798251813238
DecisionTree,0.7495633684132439,0.023652511392709984
SVM,0.7127031911016857,0.014960207459584198
