feature,importance
alcohol,0.2953978216105357
sulphates,0.14379338153202242
total sulfur dioxide,0.11467008767019686
volatile acidity,0.1068779250470293
chlorides,0.0761242642836234
fixed acidity,0.05478711480594547
density,0.0522631362772401
pH,0.0516689188641998
citric acid,0.04203048867310379
residual sugar,0.033459668348141465
free sulfur dioxide,0.028927192887961722
