feature,importance
alcohol,0.2380310247464591
sulphates,0.15843616330087743
volatile acidity,0.12444411700905654
total sulfur dioxide,0.0972849734696436
density,0.08166891296824826
chlorides,0.06343209495111857
fixed acidity,0.053818273229696366
citric acid,0.051006705209558405
free sulfur dioxide,0.04569222724445984
pH,0.045619531236103364
residual sugar,0.0405659766347786
